DATE;CMIG4;SUZB3
10/08/2021 14:00;11.56;56.83
10/08/2021 10:00;11.76;57.23
09/08/2021 17:30;11.73;56.56
09/08/2021 14:00;11.77;56.37
09/08/2021 10:00;11.63;56.51
06/08/2021 17:30;11.74;54.36
06/08/2021 14:00;11.72;54.3
06/08/2021 10:00;11.85;54.31
05/08/2021 17:30;11.58;54.45
05/08/2021 14:00;11.61;54.57
05/08/2021 10:00;11.7;54.03
04/08/2021 17:30;11.78;55.12
04/08/2021 14:00;11.8;55.1
04/08/2021 10:00;11.82;55.38
03/08/2021 17:30;11.93;54.93
03/08/2021 14:00;11.95;54.95
03/08/2021 10:00;11.92;54.79
02/08/2021 17:30;11.85;54.67
02/08/2021 14:00;11.87;54.52
02/08/2021 10:00;12.02;55.14
30/07/2021 17:30;11.94;54.12
30/07/2021 14:00;11.94;54.07
30/07/2021 10:00;11.98;54.66
29/07/2021 17:30;12.08;55.7
29/07/2021 14:00;12.1;55.75
29/07/2021 10:00;12.15;55.56
28/07/2021 17:30;12.36;55.72
28/07/2021 14:00;12.37;55.72
28/07/2021 10:00;12.23;55.81
27/07/2021 17:30;12.12;55.8
27/07/2021 14:00;12.13;56.09
27/07/2021 10:00;12.05;55.27
26/07/2021 17:30;12.06;56.65
26/07/2021 14:00;12.09;56.64
26/07/2021 10:00;12.12;56.39
23/07/2021 17:30;12.18;56.45
23/07/2021 14:00;12.16;56.36
23/07/2021 10:00;12.19;56.23
22/07/2021 17:30;12.28;57.08
22/07/2021 14:00;12.28;57.00
22/07/2021 10:00;12.4;56.83
21/07/2021 17:30;12.2;56.7
21/07/2021 14:00;12.17;56.71
21/07/2021 10:00;12.16;56.93
20/07/2021 17:30;12.13;56.68
20/07/2021 14:00;12.14;56.6
20/07/2021 10:00;12.12;56.96
19/07/2021 17:30;11.88;56.00
19/07/2021 14:00;11.87;55.86
19/07/2021 10:00;11.83;55.67
16/07/2021 17:30;11.93;56.11
16/07/2021 14:00;11.93;56.35
16/07/2021 10:00;12.03;56.5
15/07/2021 17:30;12.01;57.4
15/07/2021 14:00;12.02;57.34
15/07/2021 10:00;12.06;57.23
14/07/2021 17:30;12.2;58.77
14/07/2021 14:00;12.14;58.78
14/07/2021 10:00;12.14;58.99
13/07/2021 17:30;11.91;59.51
13/07/2021 14:00;11.89;59.47
13/07/2021 10:00;11.97;59.61
12/07/2021 17:30;12.15;60.46
12/07/2021 14:00;12.14;60.45
12/07/2021 10:00;12.11;61.01
08/07/2021 17:30;11.77;60.95
08/07/2021 14:00;11.73;60.98
08/07/2021 10:00;11.85;61.19
07/07/2021 17:30;12.1;61.07
07/07/2021 14:00;12.08;60.95
07/07/2021 10:00;12.06;61.24
06/07/2021 17:30;11.97;59.3
06/07/2021 14:00;11.96;59.37
06/07/2021 10:00;11.97;59.01
05/07/2021 17:30;12.15;59.51
05/07/2021 14:00;12.09;59.5
05/07/2021 10:00;12.16;59.84
02/07/2021 17:30;12.13;59.19
02/07/2021 14:00;12.11;59.2
02/07/2021 10:00;12.08;59.68
01/07/2021 17:30;11.89;60.3
01/07/2021 14:00;11.89;60.33
01/07/2021 10:00;11.96;60.32
30/06/2021 17:30;12.09;59.65
30/06/2021 14:00;12.13;59.81
30/06/2021 10:00;12.15;60.22
29/06/2021 17:30;12.29;60.23
29/06/2021 14:00;12.27;60.26
29/06/2021 10:00;12.28;60.13
28/06/2021 17:30;12.55;59.8
28/06/2021 14:00;12.53;59.6
28/06/2021 10:00;12.54;59.73
25/06/2021 17:30;12.53;58.54
25/06/2021 14:00;12.53;58.41
25/06/2021 10:00;12.66;59.21
24/06/2021 17:30;12.76;59.85
24/06/2021 14:00;12.75;59.85
24/06/2021 10:00;12.66;59.68
23/06/2021 17:30;12.65;58.07
23/06/2021 14:00;12.7;58.11
23/06/2021 10:00;12.71;58.15
22/06/2021 17:30;12.81;58.79
22/06/2021 14:00;12.81;58.7
22/06/2021 10:00;12.73;59.00
21/06/2021 17:30;13.08;58.58
21/06/2021 14:00;13.07;58.5
21/06/2021 10:00;12.94;58.76
18/06/2021 17:30;13.15;56.35
18/06/2021 14:00;13.27;57.00
18/06/2021 10:00;13.12;55.97
17/06/2021 17:30;13.25;56.35
17/06/2021 14:00;13.29;56.36
17/06/2021 10:00;13.43;56.8
16/06/2021 17:30;13.47;57.83
16/06/2021 14:00;13.48;58.08
16/06/2021 10:00;13.58;57.16
15/06/2021 17:30;13.51;58.16
15/06/2021 14:00;13.51;58.17
15/06/2021 10:00;13.43;58.87
14/06/2021 17:30;13.68;58.43
14/06/2021 14:00;13.68;58.46
14/06/2021 10:00;13.66;58.6
11/06/2021 17:30;13.5;58.77
11/06/2021 14:00;13.44;58.96
11/06/2021 10:00;13.44;58.97
10/06/2021 17:30;13.7;58.74
10/06/2021 14:00;13.72;58.7
10/06/2021 10:00;13.71;58.88
09/06/2021 17:30;13.75;59.75
09/06/2021 14:00;13.76;59.7
09/06/2021 10:00;13.81;60.63
08/06/2021 17:30;13.92;58.05
08/06/2021 14:00;13.92;58.08
08/06/2021 10:00;13.79;58.23
07/06/2021 17:30;13.91;59.55
07/06/2021 14:00;13.96;59.5
07/06/2021 10:00;13.89;59.51
04/06/2021 17:30;13.79;58.76
04/06/2021 14:00;13.8;58.6
04/06/2021 10:00;13.73;58.72
02/06/2021 17:30;13.86;59.3
02/06/2021 14:00;13.9;59.28
02/06/2021 10:00;13.82;58.85
01/06/2021 17:30;13.71;59.39
01/06/2021 14:00;13.69;59.32
01/06/2021 10:00;13.77;59.21
31/05/2021 17:30;13.57;60.7
31/05/2021 14:00;13.58;60.73
31/05/2021 10:00;13.6;61.05
28/05/2021 17:30;13.7;61.51
28/05/2021 14:00;13.7;61.54
28/05/2021 10:00;13.59;61.62
27/05/2021 17:30;13.66;62.59
27/05/2021 14:00;13.75;62.6
27/05/2021 10:00;13.67;62.59
26/05/2021 17:30;13.48;62.19
26/05/2021 14:00;13.46;62.22
26/05/2021 10:00;13.36;62.98
25/05/2021 17:30;13.44;64.7
25/05/2021 14:00;13.45;64.66
25/05/2021 10:00;13.53;64.26
24/05/2021 17:30;13.42;64.35
24/05/2021 14:00;13.43;64.3
24/05/2021 10:00;13.39;64.9
21/05/2021 17:30;13.12;64.4
21/05/2021 14:00;13.12;64.85
21/05/2021 10:00;13.04;64.2
20/05/2021 17:30;13.02;63.06
20/05/2021 14:00;13.06;63.18
20/05/2021 10:00;12.97;63.84
19/05/2021 17:30;13.24;65.8
19/05/2021 14:00;13.27;65.94
19/05/2021 10:00;13.1;66.34
18/05/2021 17:30;12.61;66.19
18/05/2021 14:00;12.63;66.46
18/05/2021 10:00;12.6;66.6
17/05/2021 17:30;12.35;66.52
17/05/2021 14:00;12.4;66.52
17/05/2021 10:00;12.28;65.81
14/05/2021 17:30;12.18;65.21
14/05/2021 14:00;12.18;65.15
14/05/2021 10:00;11.97;64.97
13/05/2021 17:30;11.76;66.81
13/05/2021 14:00;11.78;66.81
13/05/2021 10:00;11.84;67.64
12/05/2021 17:30;11.54;68.85
12/05/2021 14:00;11.53;68.42
12/05/2021 10:00;11.63;69.27
11/05/2021 17:30;12.00;68.12
11/05/2021 14:00;12.01;68.32
11/05/2021 10:00;11.97;67.48
10/05/2021 17:30;11.84;68.5
10/05/2021 14:00;11.85;68.47
10/05/2021 10:00;11.93;68.57
07/05/2021 17:30;12.04;67.55
07/05/2021 14:00;12.01;67.42
07/05/2021 10:00;11.93;66.52
